ACS Appl Mater Interfaces	ACS Appl. Mater. Interfaces
ACS Applied Nano Materials	ACS Appl. Nano Mater.
ACS Nano	ACS Nano
ACS Omega	ACS Omega
Acta Dermato-Venereologica	Acta Derm.-Venereol.
Acta Physica Sinica	Acta. Phys. Sin.
Additive Manufacturing	Addit. Manuf.
Adv Mater	Adv. Mater.
Adv Sci (Weinh)	Adv. Sci.
Advanced Energy Materials	Adv. Energy Mater.
Advanced Engineering Materials	Adv. Eng. Mater.
Advanced Functional Materials	Adv. Funct. Mater.
Advanced Intelligent Systems	Adv. Intell. Syst.
Advanced Materials	Adv. Mater.
Advanced Materials Technologies	Adv. Mater. Technol.
American Industrial Hygiene Association Journal	Am. Ind. Hyg. Assoc. J.
Applied Materials Today	Appl. Mater. Today
Applied Physics Letters	Appl. Phys. Lett.
Br J Ophthalmol	Br. J. Ophthalmol.
Bulletin of the Chemical Society of Japan	Bull. Chem. Soc. Jpn.
Chemical Engineering Journal	Chem. Eng. J.
Composites Science and Technology	Compos. Sci. Technol.
Contact Dermatitis	Contact Dermatitis
Coordination Chemistry Reviews	Coord. Chem. Rev.
Ergonomics	Ergonomics
European Polymer Journal	Eur. Polym. J.
Extreme Mechanics Letters	Extreme Mech. Lett.
Ferroelectrics	Ferroelectrics
Finite Elements in Analysis and Design	Finite Elem. Anal. Des.
Frontiers in Electronics	Front. Inf.
IEEE Sensors Journal	IEEE Sens. J.
IEEE Trans Biomed Eng	IEEE Trans. Biomed. Eng.
J Biomech	J. Biomech.
J Hand Surg Am	J. Hand Surg. (Am. Vol.)
Journal of Advanced Ceramics	J. Adv. Ceram.
Journal of Alloys and Compounds	J. Alloys Compd.
Journal of Applied Physics	J. Appl. Phys.
Journal of Applied Polymer Science	J. Appl. Polym. Sci.
Journal of Intelligent Material Systems and Structures	J. Intell. Mater. Syst. Struct.
Journal of Intelligent and Robotic Systems	J. Intell. Rob. Syst.
Journal of Materials Chemistry A	J. Mater. Chem. A
Journal of Materials Research and Technology	J. Mater. Res. Technol.
Journal of Organometallic Chemistry	J. Organomet. Chem.
Journal of Photochemistry and Photobiology A: Chemistry	J. Photochem. Photobiol., A
Journal of Sensors	J. Sens.
Journal of the Mechanics and Physics of Solids	J. Mech. Phys. Solids
Macromol Rapid Commun	Macromol. Rapid Commun.
Macromolecular Materials and Engineering	Macromol. Mater. Eng.
Macromolecules	Macromolecules
Materials (Basel)	Materials
Materials Advances	Mater. Adv.
Materials Horizons	Mater. Horiz.
Materials Letters	Mater. Lett.
Materials Today Physics	Mater. Today Phys.
Matter	Matter
Micromachines (Basel)	Micromachines
Nano Energy	Nano Energy
Nanomicro Lett	Nano-Micro Lett.
Nat Commun	Nat. Commun.
Nat Nanotechnol	Nat. Nanotechnol.
Nature	Nature
Nonlinear Dynamics	Nonlinear Dyn.
Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences	Philos. Trans. R. Soc. A
Phys Rev Lett	Phys. Rev. Lett.
Polymer	Polymer
Polymers (Basel)	Polymers
Proc Natl Acad Sci U S A	Proc. Natl. Acad. Sci. U.S.A
Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences	Proc. Math. Phys. Eng.
Progress in Materials Science	Prog. Mater Sci.
Progress in Polymer Science	Prog. Polym. Sci.
Prosthet Orthot Int	Prosthet. Orthot. Int.
RSC Adv	RSC Adv.
Rubber Chemistry and Technology	Rubber Chem. Technol.
Sci Adv	Sci. Adv.
Sci Rep	Sci. Rep.
Science China-Chemistry	Sci. China Chem.
Sensors (Basel)	Sensors
Sensors and Actuators A: Physical	Sens. Actuators, A
Small	Small
Small Methods	Small Methods
Trans. Faraday Soc.	Trans. Faraday Soc.
iScience	iScience
